categoria,toxico,alias,region_relevancia,via_exposicion,sintomas_base,signos_gravedad,dosis_toxica_referencia,tipo_referencia_dosis,poblacion_referencia,estado_dosis,antidoto_tratamiento_base,descontaminacion,tratamiento_especifico,antidoto,dosis_antidoto_referencia,monitorizacion,criterios_observacion_uci,fuente,url_fuente,fuente_libro,paginas_libro,fecha_revision,estado_revision,notas
ARÁCNIDOS,LOXOSCELES LAETA / LOXOSCELISMO,araña de rincón; brown recluse; Loxosceles spp.,Chile y América,mordedura,"Dolor urente o punzante, edema y eritema; en horas puede aparecer placa livedoide violácea, ampollas y necrosis. La forma visceral puede cursar con fiebre, ictericia, hematuria/hemoglobinuria y compromiso sistémico.","Hemólisis, orina oscura, caída de Hb, ictericia, oliguria/IRA, hipotensión, compromiso multiorgánico.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Evaluación precoz, analgesia, cuidado local y vigilancia de hemólisis y función renal; manejo hospitalario si hay datos sistémicos.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.","Soporte, control seriado de hemograma/función renal y tratamiento de complicaciones; antiveneno solo donde exista protocolo y disponibilidad local.",No existe un antídoto universal; antiveneno depende del país/protocolo.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",ISP Chile,https://www.ispch.cl/pregunta-frecuente/p-471/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,Fuente local prioritaria para Chile; no automatizar una conducta única de antiveneno.
ARÁCNIDOS,LATRODECTUS SPP. / LATRODECTISMO,viuda negra; araña del trigo,Chile y mundial,mordedura,"Dolor local que puede generalizarse, calambres y espasmos musculares, rigidez abdominal o lumbar, diaforesis, náuseas, hipertensión, taquicardia y agitación.","Dolor intratable, hipertensión grave, disfunción autonómica intensa, debilidad o compromiso respiratorio.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Analgesia, benzodiacepinas si espasmos, control hemodinámico y observación según gravedad.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Tratamiento sintomático; antiveneno específico puede considerarse en cuadros sistémicos graves según disponibilidad y toxicología.,Antiveneno Latrodectus en regiones donde esté disponible.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Black Widow Spider Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK499987/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ARÁCNIDOS,PHONEUTRIA SPP.,araña bananera; araña errante brasileña; armed spider,Sudamérica,mordedura,"Dolor local intenso, eritema y sudoración; puede haber náuseas, vómitos, sialorrea, agitación, taquicardia, hipertensión, alteraciones visuales y espasmos.","Disnea, edema pulmonar, inestabilidad hemodinámica, alteración de conciencia, especialmente en niños.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Analgesia, soporte ABC y vigilancia cardiorrespiratoria.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno específico puede estar indicado en cuadros moderados-graves en países donde exista y según protocolo local.,Antiveneno anti-Phoneutria según disponibilidad regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ARÁCNIDOS,ARAÑA DE TELA DE EMBUDO (ATRAX/HADRONYCHE),funnel-web spider,Australia / viaje,mordedura,"Dolor local, parestesias, fasciculaciones, sialorrea, lagrimeo, sudoración, vómitos, hipertensión y progresión rápida a toxicidad neuromuscular/autonómica.","Deterioro rápido, edema pulmonar, arritmias, alteración de conciencia o insuficiencia respiratoria.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilización por presión cuando corresponda al protocolo local, traslado urgente y soporte ABC.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno específico precoz en envenenamiento sistémico según protocolo australiano.,Antiveneno funnel-web.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",CDC Yellow Book 2026 - Poisonings/Envenomations,https://www.ncbi.nlm.nih.gov/books/NBK620956/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ARÁCNIDOS,TARÁNTULAS (THERAPHOSIDAE),tarántula; pelos urticantes,Mundial,mordedura/contacto con pelos,"Dolor, prurito y edema local. Los pelos urticantes pueden causar dermatitis, rinitis, tos, broncoespasmo y lesión ocular con queratoconjuntivitis/oftalmia nodosa.","Anafilaxia, broncoespasmo importante o compromiso ocular profundo.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Lavado, analgesia y tratamiento de reacción alérgica; irrigación ocular abundante y valoración oftalmológica si exposición ocular.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No hay antiveneno de uso habitual.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Tarantula Spider Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK557667/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ESCORPIONES,TITYUS SPP.,alacrán sudamericano; escorpión Tityus,Sudamérica,picadura,"Dolor local intenso, parestesias, vómitos, diaforesis, sialorrea y agitación; cuadros graves pueden producir taquicardia/bradicardia, hipertensión o shock, edema pulmonar y disfunción neurológica.","Edema pulmonar, shock, arritmias, alteración neurológica, especialmente en niños.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Analgesia, monitorización y soporte cardiorrespiratorio; valoración urgente de niños y síntomas sistémicos.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.","Antiveneno antiescorpiónico según especie, gravedad y disponibilidad regional.",Antiveneno específico regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Scorpion Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK430928/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ESCORPIONES,CENTRUROIDES SPP.,bark scorpion; alacrán de corteza,México/EE.UU./América,picadura,"Dolor/parestesias locales, movimientos oculares anormales, hipersalivación, fasciculaciones, agitación y disfunción neuromuscular.","Compromiso de vía aérea, hipersecreciones, movimientos neuromusculares generalizados, dificultad respiratoria.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Soporte, analgesia y benzodiacepinas si agitación/espasmos; monitorización.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno específico en toxicidad sistémica grave donde esté disponible.,Antiveneno Centruroides.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Insect Bites/Scorpion,https://www.ncbi.nlm.nih.gov/books/NBK537235/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
ESCORPIONES,ESCORPIONES BUTHIDAE GRAVES,Androctonus; Leiurus; Buthus,África/Oriente Medio/Asia,picadura,"Dolor local seguido de hiperactividad autonómica: sudoración, vómitos, taquicardia, hipertensión; puede evolucionar a shock, arritmias, edema pulmonar y encefalopatía.","Shock, edema pulmonar, arritmias, convulsiones, coma.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Soporte ABC, monitorización hemodinámica y tratamiento de complicaciones.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno según especie/región y protocolos locales.,Antiveneno regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Scorpion Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK430928/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,BOTHROPS SPP.,yarará; mapaná; terciopelo; lancehead,América Latina,mordedura,"Dolor, edema progresivo, equimosis, ampollas y sangrado local; puede producir coagulopatía, hemorragia sistémica, hipotensión y lesión renal aguda.","Edema rápidamente progresivo, sangrado espontáneo, incoagulabilidad, shock, oliguria/IRA.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno botrópico/polivalente apropiado según país y signos de envenenamiento.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Snakebite Envenoming,https://www.who.int/news-room/fact-sheets/detail/snakebite-envenoming,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,CROTALUS DURISSUS / CASCABEL,cascabel sudamericana; rattlesnake,América,mordedura,"Dolor variable; neurotoxicidad con ptosis, diplopía y debilidad, mialgias/rabdomiólisis y posible lesión renal; algunas especies producen coagulopatía.","Debilidad bulbar/respiratoria, orina oscura por mioglobinuria, arritmias, shock, IRA.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno crotálico/polivalente según región y clínica.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Snakebite Envenoming,https://www.who.int/news-room/fact-sheets/detail/snakebite-envenoming,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
