rule_id,med_id,principio_activo,indicacion,poblacion,edad_min_meses,edad_max_meses,peso_min_kg,peso_max_kg,via,tipo_dosis,dosis_valor,dosis_valor_max,intervalo_h,divisiones_dia,dosis_fija_mg,max_dosis_mg,max_dia_mg,max_dia_mgkg,duracion,notas,nota_renal,fuente,url_fuente,fecha_revision,estado,automatizable
PED-0001,MED-0017,ACICLOVIR,"HSV mucocutáneo, huésped inmunocompetente",≥3 meses,3,,,,IV,MG_KG_DOSIS,5,,8,,,1000,,,,,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0002,MED-0017,ACICLOVIR,HSV SNC,≥3 meses a <12 años,3,144,,,IV,MG_KG_DOSIS,15,,8,,,1000,,,,,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0003,MED-0017,ACICLOVIR,HSV SNC / HSV inmunocomprometido / VZV,≥12 años,144,216,,,IV,MG_KG_DOSIS,10,,8,,,1000,,,,,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0004,MED-0017,ACICLOVIR,HSV,<3 meses,1,3,,,IV,MG_KG_DOSIS,20,,8,,,1000,,,,En neonatos y lactantes con disfunción renal usar referencia neonatal específica.,Ajuste renal específico neonatal.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0005,MED-0054,AMPICILINA,Infección habitual,>1 mes,1,,,,IV,MG_KG_DOSIS,50,,6,,,2000,,,,,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0006,MED-0054,AMPICILINA,Meningitis / endocarditis,>1 mes,1,,,,IV,MG_KG_DIA,400,,,4,,2000,,,,Fuente permite dividir 400 mg/kg/día cada 4–6 h; la app calcula q6h como opción conservadora y muestra esta nota.,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0007,MED-0053,AMOXICILINA,Dosis estándar (infecciones comunes),>1 mes,1,,,,PO,MG_KG_DOSIS,22.5,,12,,,1000,,,,,Ajustar si CrCl <30 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0008,MED-0053,AMOXICILINA,Neumonía bacteriana ambulatoria (MINSAL Chile 2025),<5 años,3,60,,,PO,MG_KG_DIA,50,,,2,,1000,2000,,7 días (duración según orientación MINSAL 2021),GPC MINSAL 2025 recomienda 50 mg/kg/día por sobre dosis altas de 90 mg/kg/día en menores de 5 años con neumonía bacteriana. La pauta histórica MINSAL de 80–100 mg/kg/día no se usa como regla vigente por defecto.,Ajustar si CrCl <30 mL/min/1.73m².,MINSAL Chile – GPC IRA menores de 5 años (2025); duración complementada con Orientación Técnica antimicrobianos 2021,https://diprece.minsal.cl/wp-content/uploads/2025/05/RES.-EXENTA-N%C2%B0-573-GUIA-DE-PRACTICA-CLINICA.pdf,2026-09-02,VALIDADO,SI
PED-0009,MED-0053,AMOXICILINA,Faringitis estreptocócica,>1 mes,1,,,,PO,MG_KG_DOSIS,50,,24,,,1000,,,,,Ajustar si CrCl <30 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0010,MED-0110,CEFALEXINA,Infección leve-moderada,>1 mes,1,,,,PO,MG_KG_DOSIS,25,,8,,,500,,,,,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0011,MED-0110,CEFALEXINA,"Infección grave (p. ej., osteomielitis/pielonefritis)",>1 mes,1,,,,PO,MG_KG_DOSIS,50,,8,,,1000,,,,,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
