principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion,clase_toxicologica,dosis_toxica_corregida,tipo_umbral,manifestaciones_clave,manejo_corregido,antidoto_especifico,fuente_principal,fuente_secundaria,nivel_evidencia,estado_revision,nota_revision,umbral_mgkg_automatizable,etiqueta_umbral,poblacion_umbral,permitir_comparacion_automatica,fecha_revision,id_revision,duplicado_exacto_nombre,orden_duplicado,correccion_clinicamente_relevante
(ALFA) RIFAXIMINA,mg,200,TABLETAS RECUBIERTAS,SDTE,"náuseas, vómitos, dolor abdominal, diarrea, mareos, y erupciones cutáneas. En casos graves, puede haber síntomas de insuficiencia hepática y reacciones alérgicas severas como anafilaxia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0001,NO,1,NO
ABACAVIR,mg,300,TABLETA (CUBIERTA CON PELÍCULA),>600 mg DIA,sintomas generales,MEDIDAS GENERALES,PENDIENTE_VALIDACION,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.  El valor original '>600 mg DIA' no se usa como umbral automatizable.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0002,NO,1,NO
ABEMACICLIB,mg,100,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Shock anafiláctico Síntomas generales: ver apartado de sintomas generales Infecciones:Los medicamentos biológicos pueden aumentar el riesgo de infecciones debido a la supresión del sistema inmunológico. Síntomas gastrointestinales: Diarrea, Dolor abdominal, Colitis Síntomas neurológicos: Cefalea, Mareos, Convulsiones (en casos graves) Complicaciones hematológicas:Anemia, Trombocitopenia , Leucopenia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0003,NO,1,NO
ABIRATERONA,mg,250,TABLETA,>1000 mg dia,"artralgia, dolor inguinal, bochornos, diarrea, estreñimiento, pirosis, tos, odinofagia, congestión nasal, insomnio, mareos, lipotimia, cefalea, taquiarrtimia, mialgias, edema de las manos, pies, tobillos o pantorrillas, falta de aliento, urticaria; disfagia; angioedema, petequias.",MEDIDAS GENERALES,PENDIENTE_VALIDACION,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.  El valor original '>1000 mg dia' no se usa como umbral automatizable.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0004,NO,1,NO
ABROCITINIB,mg,100,TABLETA RECUBIERTA DE COLOR ROSA GRABADA CON EL TEXTO PFE EN UNA CARA Y ABR 100 EN LA OTRA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Shock anafiláctico Síntomas generales: ver apartado de sintomas generales Infecciones:Los medicamentos biológicos pueden aumentar el riesgo de infecciones debido a la supresión del sistema inmunológico. Síntomas gastrointestinales: Diarrea, Dolor abdominal, Colitis Síntomas neurológicos: Cefalea, Mareos, Convulsiones (en casos graves) Complicaciones hematológicas:Anemia, Trombocitopenia , Leucopenia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0005,NO,1,NO
ACECLOFENACO,mg,100,TABLETA RECUBIERTA,>200 mg dia,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION,AINE,SDTE para este AINE en la app: no extrapolar automáticamente los cortes de ibuprofeno a otros AINEs.,SDTE / CLASE,"Predominan síntomas gastrointestinales y neurológicos; sobredosis importante puede asociarse a lesión renal, alteraciones metabólicas y shock.",Tratamiento de soporte y mantener hidratación adecuada en sobredosis importante. La gravedad y decontaminación dependen del fármaco y exposición; consultar toxicología en casos significativos.,Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/Nonsteroidal_Anti-inflammatory_Drug_NSAID_poisoning/,,GUIA DE CLASE,VALIDADO_POR_CLASE,Se eliminó el umbral previo si correspondía a una dosis máxima terapéutica.  El valor original '>200 mg dia' no se usa como umbral automatizable.,,,Mixta / depende de contexto,NO,2026-09-02,MED-0006,NO,1,NO
ACETATO DE CIPROTERONA,mg,2,TABLETA CUBIERTA (GRAGEA),SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0007,NO,1,NO
ACETATO DE CLORMADINONA,mg,2,TABLETA RECUBIERTA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0008,NO,1,NO
ACETATO DE INDACATEROL,µg,150,CÁPSULA DURA,SDTE,"palpitaciones, taquicardia, temblores, nerviosismo, dolor de cabeza, mareos, y calambres musculares. También pueden presentarse insomnio, náuseas y vómitos. En casos graves, se pueden observar arritmias cardíacas, hipertensión, y dolor en el pecho.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Agonista beta-adrenérgico,SDTE — no usar una dosis máxima terapéutica como umbral de toxicidad.,SDTE / CLASE,"Taquicardia, palpitaciones, temblor, hipokalemia, hiperglucemia, lactato elevado; arritmias en casos graves.","Soporte, ECG, potasio/glucosa/lactato según gravedad; corregir electrolitos con prudencia y tratar arritmias/hemodinámica.",Ninguno específico,https://pubmed.ncbi.nlm.nih.gov/37721023/,,MECANISMO/CONSENSO,VALIDADO_POR_CLASE,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0009,NO,1,NO
ACETATO DE LISINA,mg,105,TABLETA RECUBIERTA CON PELÍCULA,SDTE,IGUAL QUE INTOX POR ASPIRINA,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Nombre ambiguo / posible salicilato,NO AUTOMATIZAR. 'Acetato de lisina' no identifica de forma inequívoca un salicilato; confirmar principio activo exacto y sal farmacológica del producto.,NOMBRE_AMBIGUO,"La fila original dice 'igual que intoxicación por aspirina', pero el nombre no permite asumirlo de forma segura.",Confirmar envase/registro sanitario y principio activo exacto antes de aplicar un protocolo de salicilatos.,No asignado,https://pubmed.ncbi.nlm.nih.gov/17364628/,,ERROR_DE_NOMENCLATURA,NOMBRE_AMBIGUO_NO_AUTOMATIZAR,No se conserva la equivalencia automática con aspirina hasta aclarar el nombre del producto.,,,Mixta / depende de contexto,NO,2026-09-02,MED-0010,NO,1,NO
