toxico,sintomas_base,antidoto_tratamiento_base
Cocaina,"Taquicardia, hipertensión, hipertermia, agitación, alucinaciones, convulsiones, dolor torácico, midriasis.","Benzodiacepinas (para la agitación y convulsiones), enfriamiento activo (para la hipertermia), nitroglicerina o bloqueadores de canales de calcio (para el dolor torácico)."
Metanfetamina,"Taquicardia, hipertensión, hipertermia, agitación, alucinaciones, convulsiones, midriasis, sudoración excesiva.","Benzodiacepinas (para la agitación y convulsiones), enfriamiento activo (para la hipertermia), antihipertensivos si es necesario."
Extasis,"Hipertermia, hiponatremia, confusión, agitación, alucinaciones, taquicardia, bruxismo, mioclonías.","Enfriamiento activo (para la hipertermia), benzodiacepinas (para la agitación), solución salina hipertónica (para la hiponatremia)."
LSD,"Alucinaciones, paranoia, taquicardia, hipertensión, midriasis, mareos, náuseas.","Benzodiacepinas (para la agitación y paranoia), apoyo emocional y ambiente tranquilo."
Heroina,"Depresión respiratoria, miosis (pupilas puntiformes), bradicardia, hipotensión, somnolencia, coma.","Naloxona (antídoto específico), soporte respiratorio si es necesario."
Cannabis,"Taquicardia, ansiedad, paranoia, alucinaciones, hiperemesis cíclica, boca seca, conjuntivitis.","Tratamiento sintomático, benzodiacepinas (para la ansiedad y paranoia), antieméticos (para la hiperemesis)."
Alcohol,"Depresión respiratoria, confusión, vómitos, ataxia, hipotermia, coma, bradicardia.","Manejo sintomático, soporte respiratorio, tiamina (para prevenir síndrome de Wernicke-Korsakoff)."
Benzodiacepinas,"Somnolencia, confusión, ataxia, depresión respiratoria, coma.","Flumazenil (antídoto específico, usar con precaución)."
Ketamina,"Alucinaciones, disociación, hipertensión, taquicardia, midriasis, agitación, pérdida de coordinación.","Benzodiacepinas (para la agitación), manejo sintomático, soporte respiratorio si es necesario."
GHB,"Somnolencia, confusión, bradicardia, hipotermia, depresión respiratoria, coma.","Manejo sintomático, soporte respiratorio si es necesario."
FENTANILO,"Depresión respiratoria, miosis (pupilas puntiformes), bradicardia, hipotensión, coma.","Naloxona (antídoto específico), soporte respiratorio si es necesario."
Popper,"Cefalea, mareos, hipotensión, taquicardia, desorientación, síncope.","Tratamiento sintomático, oxígeno suplementario."
PCP,"Alucinaciones, agresividad, nistagmo vertical u horizontal, hipertensión, taquicardia, hipertermia.","Benzodiacepinas (para la agitación y convulsiones), enfriamiento activo (para la hipertermia)."
Crack,"Similar a la cocaína: taquicardia, hipertensión, hipertermia, agitación, alucinaciones, convulsiones, dolor torácico, midriasis.","Benzodiacepinas (para la agitación y convulsiones), enfriamiento activo (para la hipertermia), nitroglicerina o bloqueadores de canales de calcio (para el dolor torácico)."
Glifosato,"Náuseas, vómitos, diarrea, dolor abdominal, dificultad respiratoria, hipotensión.","Tratamiento sintomático, monitoreo de la función renal y respiratoria."
Paraquat,"Dolor abdominal, vómitos, diarrea, dificultad respiratoria, fallo renal y hepático, fibrosis pulmonar.","No hay antídoto específico. Tratamiento sintomático, descontaminación gástrica, hemoperfusión, y soporte respiratorio."
"2,4-D","Náuseas, vómitos, dolor abdominal, debilidad muscular, convulsiones, acidosis metabólica.","Tratamiento sintomático, diuresis alcalina forzada, monitoreo cardíaco."
Atrazina,"Náuseas, vómitos, diarrea, irritación de la piel y ojos, dificultad respiratoria.","Tratamiento sintomático, descontaminación cutánea y ocular, monitoreo respiratorio."
Carbamatos,"Salivación excesiva, sudoración, náuseas, vómitos, diarrea, bradicardia, miosis, convulsiones.","Atropina, pralidoxima (2-PAM), tratamiento sintomático."
Organofosforados,"Salivación excesiva, sudoración, náuseas, vómitos, diarrea, bradicardia, miosis, convulsiones, debilidad muscular.","Atropina, pralidoxima (2-PAM), tratamiento sintomático, soporte respiratorio si es necesario."
DDT,"Irritación de la piel, mareos, náuseas, vómitos, convulsiones, arritmias cardíacas.","Tratamiento sintomático, anticonvulsivos, monitoreo cardíaco."
Malation,"Salivación excesiva, sudoración, náuseas, vómitos, diarrea, bradicardia, miosis, convulsiones, debilidad muscular.","Atropina, pralidoxima (2-PAM), tratamiento sintomático, soporte respiratorio si es necesario."
Lindano,"Mareos, náuseas, vómitos, convulsiones, hiperexcitabilidad, coma.","Tratamiento sintomático, anticonvulsivos (diazepam), monitoreo respiratorio."
Permetrina,"Irritación de la piel, mareos, náuseas, vómitos, convulsiones.","Tratamiento sintomático, descontaminación cutánea, anticonvulsivos."
Dieldrin,"Irritación de la piel, mareos, náuseas, vómitos, convulsiones, temblores.","Tratamiento sintomático, anticonvulsivos, monitoreo respiratorio."
Clorpirifos,"Salivación excesiva, sudoración, náuseas, vómitos, diarrea, bradicardia, miosis, convulsiones, debilidad muscular.","Atropina, pralidoxima (2-PAM), tratamiento sintomático, soporte respiratorio si es necesario."
Bromuro de metilo,"Irritación de la piel y ojos, mareos, náuseas, vómitos, convulsiones, dificultad respiratoria, edema pulmonar.","Tratamiento sintomático, oxígeno suplementario, broncodilatadores."
Cianamida,"Irritación de la piel y ojos, náuseas, vómitos, diarrea, dificultad respiratoria, colapso circulatorio.","Tratamiento sintomático, monitoreo respiratorio y cardiovascular, soporte vital avanzado."
